AccountOwnerId,Account Name,SubscriptionId,SubscriptionGuid,Subscription Name,Date,Month,Day,Year,Product,Meter ID,Meter Category,Meter Sub-Category,Meter Region,Meter Name,Consumed Quantity,ResourceRate,ExtendedCost,Cost,Consumed Service,Instance ID,AdditionalInfo,Tags,(Department Name),(Cost Center),(Unit of Measure)
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Azure App Service Free Plan - F1 - CN East,c9b5177a-140e-44b4-8ad9-6f9d2ac23710,Azure App Service,Free Plan,CN East,F1,0.032256,0,0,0,microsoft.web,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourcegroups/default-mysql-chinaeast/providers/microsoft.web/sites/webdir,"{""AppServicePlanUri"":""/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourcegroups/default-mysql-chinaeast/providers/microsoft.web/serverfarms/appsp-180425150833""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,Hour
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Load Balancer - Standard - Data Processed - CN,65a46271-f0be-461f-97a6-7c212201ace5,Load Balancer,Standard,CN,Data Processed,0.066412,0,0,0,Microsoft.Network,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourceGroups/CE-NEW2019NCOV-RG/providers/Microsoft.Network/loadBalancers/kyligence-ncov2019lb,"{""PipelineType"":""V2_Late""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,GB
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Load Balancer - Standard - Data Processed - CN,65a46271-f0be-461f-97a6-7c212201ace5,Load Balancer,Standard,CN,Data Processed,0.000439,0,0,0,Microsoft.Network,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourceGroups/CE-TESTDRIVE-RG/providers/Microsoft.Network/loadBalancers/ldapcachelb,"{""PipelineType"":""V2_Late""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,GB
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Load Balancer - Standard - Data Processed - CN,65a46271-f0be-461f-97a6-7c212201ace5,Load Balancer,Standard,CN,Data Processed,0.000249,0,0,0,Microsoft.Network,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourceGroups/CE-JinLi-RG/providers/Microsoft.Network/loadBalancers/mdxcontrol1a8Y-kylin-lb,"{""PipelineType"":""V2_Late""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,GB
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Load Balancer - Standard - Data Processed - CN,65a46271-f0be-461f-97a6-7c212201ace5,Load Balancer,Standard,CN,Data Processed,0.000483,0,0,0,Microsoft.Network,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourceGroups/CE-TESTDRIVE-RG/providers/Microsoft.Network/loadBalancers/trial915H0CW-kylin-lb,"{""PipelineType"":""V2_Late""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,GB
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Load Balancer - Standard - Data Processed - CN,65a46271-f0be-461f-97a6-7c212201ace5,Load Balancer,Standard,CN,Data Processed,0.000089,0,0,0,Microsoft.Network,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourceGroups/CE-WeiZhang-RG2/providers/Microsoft.Network/loadBalancers/kyligence-keperformtestpublicLb,"{""PipelineType"":""V2_Late""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,GB
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Load Balancer - Standard - Data Processed - CN,65a46271-f0be-461f-97a6-7c212201ace5,Load Balancer,Standard,CN,Data Processed,0.000646,0,0,0,Microsoft.Network,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourceGroups/CE-TESTDRIVE-RG/providers/Microsoft.Network/loadBalancers/demoKgtc-kylin-lb,"{""PipelineType"":""V2_Late""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,GB
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Load Balancer - Standard - Data Processed - CN,65a46271-f0be-461f-97a6-7c212201ace5,Load Balancer,Standard,CN,Data Processed,1.432315,0,0,0,Microsoft.Network,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourceGroups/mc_ee-devops-rg_azure-k8s_chinanorth2/providers/Microsoft.Network/loadBalancers/kubernetes,"{""PipelineType"":""V2_Late""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,GB
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Load Balancer - Standard - Data Processed - CN,65a46271-f0be-461f-97a6-7c212201ace5,Load Balancer,Standard,CN,Data Processed,0.175427,0,0,0,Microsoft.Network,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourceGroups/CE-WeiZhang-RG2/providers/Microsoft.Network/loadBalancers/ke4.5,"{""PipelineType"":""V2_Late""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,GB
admin@xyzcloud.partner.onmschina.cn,Azure CN-xyzcloud,143671361,64b57128-3cf9-4e29-8454-ce791c9d0945,Microsoft Azure Enterprise ___(Converted to EA),2022-01-01,1,1,2022,Load Balancer - Standard - Data Processed - CN,65a46271-f0be-461f-97a6-7c212201ace5,Load Balancer,Standard,CN,Data Processed,0.000302,0,0,0,Microsoft.Network,/subscriptions/64b57128-3cf9-4e29-8454-ce791c9d0945/resourceGroups/CE-JinLi-RG/providers/Microsoft.Network/loadBalancers/mdxbugfixQF97-kylin-lb,"{""PipelineType"":""V2_Late""}","{""Cost Center"":""CE"",""CRR"":""202112290001"",""kyligence:cloud:kc"":""2019464891d1"",""Owner"":""xyz@kylience.io"",""Project"":""xyz project""}",Unassigned,,GB
